front_image,back_image,is_late,date,taken_time,bereal_moment,latitude,longitude,day_of_week,hour_of_day,is_with_people
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/UWatZSq7Tw1hMEDM.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/2ESGLnHx7eiSVUi6.webp,False,2024-10-08T00:00:00.000Z,2024-10-08 17:48:30.362000+00:00,2024-10-08T17:48:05.346Z,37.790025,-122.401512,Tuesday,17,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/g6iGTQD1fse75Qig.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/ITnyJnlowXqFCb4j.webp,True,2024-10-07T00:00:00.000Z,2024-10-08 02:08:28.988000+00:00,2024-10-08T00:32:05.356Z,37.783693,-122.409564,Tuesday,2,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/FddJpIr-z6nS84cy.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/H0_DBHp_GsodnFat.webp,False,2024-10-07T00:00:00.000Z,2024-10-08 02:18:18.197000+00:00,2024-10-08T00:32:05.356Z,37.784089,-122.409181,Tuesday,2,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/aolLnoHEu7-W52sj.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/x6c-0y6L278e09zI.webp,True,2024-10-06T00:00:00.000Z,2024-10-07 00:43:21.826000+00:00,2024-10-06T20:51:05.354Z,37.784088134765625,-122.4091796875,Monday,0,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/_F6fVpm2GCpv-ihf.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/0fxuJFcANxmKrBC2.webp,False,2024-10-06T00:00:00.000Z,2024-10-07 10:26:33.769000+00:00,2024-10-06T20:51:05.354Z,37.784089,-122.409181,Monday,10,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/vwuH1wkF0OI8pw17.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/WDXDUMq-tDrADZ9N.webp,False,2024-10-05T00:00:00.000Z,2024-10-05 16:34:32.726000+00:00,2024-10-05T16:34:05.369Z,37.784118,-122.40917,Saturday,16,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/r_rZxY2J81cgtoNH.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/PT2qWdxWpZA2hyHp.webp,False,2024-10-05T00:00:00.000Z,2024-10-05 17:20:16.701000+00:00,2024-10-05T16:34:05.369Z,37.784118,-122.40917,Saturday,17,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/ylbtBaW6m7m-WSkl.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/InF2QZkqRgF2dP0g.webp,False,2024-10-05T00:00:00.000Z,2024-10-05 20:07:30.163000+00:00,2024-10-05T16:34:05.369Z,37.795026,-122.398504,Saturday,20,True
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/iwswBv51isRuSPXR.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/j6zisItV8d-OodDD.webp,False,2024-10-05T00:00:00.000Z,2024-10-05 20:36:41.732000+00:00,2024-10-05T16:34:05.369Z,37.794785,-122.398484,Saturday,20,True
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/GQiujbJ0a_bUWOI4.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/FBCmOujilUvywtYv.webp,False,2024-10-05T00:00:00.000Z,2024-10-05 22:12:39.210000+00:00,2024-10-05T16:34:05.369Z,37.794796,-122.398483,Saturday,22,True
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/qia-brGk1Mi53YTO.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/pdw98sxV9wpvMlx5.webp,False,2024-10-05T00:00:00.000Z,2024-10-06 01:03:00.999000+00:00,2024-10-05T16:34:05.369Z,37.795601,-122.39868,Sunday,1,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/3goWgT8Yq0djzENo.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/lyHVPd0_mmyzcIgq.webp,False,2024-10-04T00:00:00.000Z,2024-10-04 19:23:10.579000+00:00,2024-10-04T19:21:05.350Z,37.784095,-122.409191,Friday,19,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/RjnAuOIoRlNarDpi.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/c8JEM3A2xB7tqHkO.webp,False,2024-10-04T00:00:00.000Z,2024-10-04 20:41:24.663000+00:00,2024-10-04T19:21:05.350Z,37.777335,-122.390656,Friday,20,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/cANqiMziHEw59Zvv.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/4kNlplBcS45eL6Bw.webp,False,2024-10-04T00:00:00.000Z,2024-10-04 20:41:55.780000+00:00,2024-10-04T19:21:05.350Z,37.777335,-122.390656,Friday,20,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/Eb-FKhkz0VyzgE-e.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/3fAJQXr00te3uKap.webp,False,2024-10-04T00:00:00.000Z,2024-10-04 20:42:32.883000+00:00,2024-10-04T19:21:05.350Z,37.777297,-122.390169,Friday,20,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/dkF3u3l98g6Af2Qf.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/CPa7OvEhtUktPWJy.webp,False,2024-10-04T00:00:00.000Z,2024-10-05 05:30:22.227000+00:00,2024-10-04T19:21:05.350Z,37.795023,-122.398504,Saturday,5,True
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/i8B1yVyW42cWbzED.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/DyBkXpV6fdV53DC3.webp,True,2024-10-03T00:00:00.000Z,2024-10-03 22:35:32.898000+00:00,2024-10-03T21:38:05.348Z,37.790227,-122.4011,Thursday,22,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/1R94PnTNkw3A9NBg.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/s588FTENRY1U-p17.webp,False,2024-10-03T00:00:00.000Z,2024-10-04 02:19:39.990000+00:00,2024-10-03T21:38:05.348Z,37.787676,-122.411639,Friday,2,True
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/3t5Mqq-zUtwN8Bjr.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/PCG_R5U8uPKI2ntL.webp,False,2024-10-02T00:00:00.000Z,2024-10-02 21:22:38.881000+00:00,2024-10-02T21:22:05.352Z,37.790367126464844,-122.40116119384766,Wednesday,21,False
/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/8oMylD-40WLSa7qK.webp,/Users/minjaekim/Projects/bereal-ml-project/data/iVkH1ljxruQMdiX6bixQvMbcJBu2-14RWaeP4zbC-mXBQf8Up7/Photos/post/tVXbAJ4Hl6EoPH4W.webp,False,2024-10-02T00:00:00.000Z,2024-10-03 01:46:55.122000+00:00,2024-10-02T21:22:05.352Z,37.786561,-122.404757,Thursday,1,False
